,model,max_length,scoring_method,template_types,permutation_positive,permutation_negative,aggregation_positive,aggregation_negative,accuracy
0,roberta-large,512,ppl,is-to-as,False,False,none,none,41.61
1,roberta-large,512,ppl,is-to-as,False,True,none,max,10.95
2,roberta-large,512,ppl,is-to-as,False,True,none,mean,14.6
3,roberta-large,512,ppl,is-to-as,False,True,none,min,35.4
4,roberta-large,512,ppl,is-to-as,True,False,max,none,44.53
5,roberta-large,512,ppl,is-to-as,True,False,mean,none,45.62
6,roberta-large,512,ppl,is-to-as,True,False,min,none,41.97
7,roberta-large,512,ppl,is-to-as,True,True,max,max,12.04
8,roberta-large,512,ppl,is-to-as,True,True,max,mean,20.07
9,roberta-large,512,ppl,is-to-as,True,True,max,min,41.61
10,roberta-large,512,ppl,is-to-as,True,True,mean,max,11.68
11,roberta-large,512,ppl,is-to-as,True,True,mean,mean,13.5
12,roberta-large,512,ppl,is-to-as,True,True,mean,min,39.78
13,roberta-large,512,ppl,is-to-as,True,True,min,max,9.12
14,roberta-large,512,ppl,is-to-as,True,True,min,mean,8.39
15,roberta-large,512,ppl,is-to-as,True,True,min,min,21.9
16,roberta-large,512,ppl,is-to-what,False,False,none,none,40.88
17,roberta-large,512,ppl,is-to-what,False,True,none,max,10.95
18,roberta-large,512,ppl,is-to-what,False,True,none,mean,15.33
19,roberta-large,512,ppl,is-to-what,False,True,none,min,35.4
20,roberta-large,512,ppl,is-to-what,True,False,max,none,44.16
21,roberta-large,512,ppl,is-to-what,True,False,mean,none,47.08
22,roberta-large,512,ppl,is-to-what,True,False,min,none,40.51
23,roberta-large,512,ppl,is-to-what,True,True,max,max,12.04
24,roberta-large,512,ppl,is-to-what,True,True,max,mean,26.28
25,roberta-large,512,ppl,is-to-what,True,True,max,min,39.42
26,roberta-large,512,ppl,is-to-what,True,True,mean,max,9.49
27,roberta-large,512,ppl,is-to-what,True,True,mean,mean,13.87
28,roberta-large,512,ppl,is-to-what,True,True,mean,min,41.97
29,roberta-large,512,ppl,is-to-what,True,True,min,max,9.49
30,roberta-large,512,ppl,is-to-what,True,True,min,mean,9.12
31,roberta-large,512,ppl,is-to-what,True,True,min,min,20.44
32,roberta-large,512,ppl,rel-same,False,False,none,none,42.34
33,roberta-large,512,ppl,rel-same,False,True,none,max,10.58
34,roberta-large,512,ppl,rel-same,False,True,none,mean,14.23
35,roberta-large,512,ppl,rel-same,False,True,none,min,31.39
36,roberta-large,512,ppl,rel-same,True,False,max,none,41.97
37,roberta-large,512,ppl,rel-same,True,False,mean,none,42.7
38,roberta-large,512,ppl,rel-same,True,False,min,none,44.53
39,roberta-large,512,ppl,rel-same,True,True,max,max,12.41
40,roberta-large,512,ppl,rel-same,True,True,max,mean,16.79
41,roberta-large,512,ppl,rel-same,True,True,max,min,39.78
42,roberta-large,512,ppl,rel-same,True,True,mean,max,12.41
43,roberta-large,512,ppl,rel-same,True,True,mean,mean,12.77
44,roberta-large,512,ppl,rel-same,True,True,mean,min,41.97
45,roberta-large,512,ppl,rel-same,True,True,min,max,11.31
46,roberta-large,512,ppl,rel-same,True,True,min,mean,10.95
47,roberta-large,512,ppl,rel-same,True,True,min,min,28.83
48,roberta-large,512,ppl,what-is-to,False,False,none,none,47.45
49,roberta-large,512,ppl,what-is-to,False,True,none,max,10.58
50,roberta-large,512,ppl,what-is-to,False,True,none,mean,14.23
51,roberta-large,512,ppl,what-is-to,False,True,none,min,25.91
52,roberta-large,512,ppl,what-is-to,True,False,max,none,48.18
53,roberta-large,512,ppl,what-is-to,True,False,mean,none,48.54
54,roberta-large,512,ppl,what-is-to,True,False,min,none,48.91
55,roberta-large,512,ppl,what-is-to,True,True,max,max,11.31
56,roberta-large,512,ppl,what-is-to,True,True,max,mean,18.25
57,roberta-large,512,ppl,what-is-to,True,True,max,min,37.96
58,roberta-large,512,ppl,what-is-to,True,True,mean,max,9.49
59,roberta-large,512,ppl,what-is-to,True,True,mean,mean,13.5
60,roberta-large,512,ppl,what-is-to,True,True,mean,min,33.21
61,roberta-large,512,ppl,what-is-to,True,True,min,max,8.76
62,roberta-large,512,ppl,what-is-to,True,True,min,mean,12.04
63,roberta-large,512,ppl,what-is-to,True,True,min,min,21.17
