sect	religion	-0.3814390268352889
decanter	pour	x
unprecedented	forerunners	x
erudite	uneducated	x
truism	obvious	-0.9245704094137276
laconic	concise	1.1765176431526827
lie	prevaricate	x
concession	placate	x
powerless	efficacy	x
rivulet	small	-2.0807447854315857
wretched	cheerful	x
level	hierarchy	-1.9330741500556088
peccadillo	sin	x
tyro	inexperienced	x
blandishment	coax	x
pragmatism	philosophy	0.4206078129675767
vitriol	spiteful	x
invective	blame	x
vernacular	regional	-2.736176824205584
virulent	poisonous	-2.2903131110852293
grenadier	army	-1.3319250199181532
fake	authenticity	-2.345615888361828
nefarious	virtuous	x
castigate	criticize	2.5724075156927633
playful	banter	-1.1648010154783224
embargo	commerce	-2.0028420910930365
pathogen	harmful	-2.71009907018641
conceited	bumptious	x
clause	sentence	-0.2094805883010442
renegade	allegiance	x
sanguine	sickly	x
tripod	camera	0.5377592144958452
cello	played	-1.5984826511542656
demented	lucidity	x
defendant	plaintiff	1.2353319997686596
mud	opaque	-2.722491112590107
assuage	mollify	x
memorable	unforgettable	-1.6891245557531207
antipathy	approval	x
bailiff	courthouse	-1.5838932840649351
pan	saute	x
kindling	combustible	x
print	lithograph	-1.763477110498438
dermal	skin	1.1370091791778236
atrocious	bad	-2.188438529911012
exaggeration	caricature	-2.0716110187804957
tenable	indefensible	x
inchoate	experience	x
branch	bureaucracy	-5.1651301530995255
stock	inventory	-2.1180052675619185
estimate	approximate	-2.51032772383112
heart	cardiac	-0.3368724320653487
inevitable	preventable	x
disingenuous	charlatan	x
authenticity	fraudulent	-4.1258923894818444
polish	shiny	-2.9794825299730845
flatter	rebuff	x
bombastic	turgid	1.4156247898054966
lecher	salacious	x
eccentric	codger	x
legerdemain	deception	x
clean	immaculate	-2.3412857429187808
dilettante	dabble	2.263266756613025
hallucinogen	drug	1.2651524134345575
subterfuge	deceive	x
abiding	ephemeral	x
expulsion	school	-0.7882440405201657
martinet	discipline	0.8353756349325856
abolition	slavery	2.9289371472571943
obdurate	stubborn	x
defame	venerate	x
control	irrepressible	x
farce	ridiculous	-1.9458130192782068
asphyxia	air	-2.3713745867657434
indulge	epicurean	x
immune	susceptible	-0.7643003379377936
demulcent	unguent	x
abominable	disagreeable	x
uncommon	outlier	x
